elapsed_ms,phase,rss_bytes,rss_mib
28.24710000277264,pre_ready,7573504,7.22265625
53.85209999803919,pre_ready,7573504,7.22265625
76.83289999840781,pre_ready,7593984,7.2421875
100.73969999939436,pre_ready,7610368,7.2578125
125.90310000086902,pre_ready,7643136,7.2890625
148.15200000157347,pre_ready,7643136,7.2890625
173.95499999838648,pre_ready,7675904,7.3203125
199.47949999914272,pre_ready,7692288,7.3359375
225.1315000030445,pre_ready,7708672,7.3515625
250.6347000016831,pre_ready,7725056,7.3671875
276.680100003432,pre_ready,7741440,7.3828125
302.46120000083465,pre_ready,7774208,7.4140625
324.9036999986856,pre_ready,7790592,7.4296875
347.38669999933336,pre_ready,7806976,7.4453125
369.05729999853065,pre_ready,7823360,7.4609375
390.93680000223685,pre_ready,7856128,7.4921875
416.01210000226274,pre_ready,19824640,18.90625
440.6153000018094,pre_ready,33546240,31.9921875
467.25229999719886,pre_ready,48984064,46.71484375
493.2697999975062,pre_ready,63918080,60.95703125
521.2209000019357,pre_ready,161107968,153.64453125
547.2085000001243,pre_ready,163323904,155.7578125
568.1727999981376,pre_ready,163323904,155.7578125
588.2060000003548,pre_ready,163323904,155.7578125
608.2126999972388,pre_ready,163323904,155.7578125
629.5035000002827,pre_ready,163323904,155.7578125
650.345499998366,pre_ready,163323904,155.7578125
672.1407000004547,pre_ready,163323904,155.7578125
693.5930999970878,pre_ready,163332096,155.765625
719.1202000030898,pre_ready,163332096,155.765625
739.6109999972396,pre_ready,163319808,155.75390625
764.9626999991597,pre_ready,163459072,155.88671875
784.7573000035482,post_ready,163459072,155.88671875
808.202699998219,post_ready,163459072,155.88671875
830.5170000021462,post_ready,163373056,155.8046875
853.7356000015279,post_ready,163373056,155.8046875
875.9984999996959,post_ready,163373056,155.8046875
899.5727000001352,post_ready,163373056,155.8046875
922.4014999999781,post_ready,163373056,155.8046875
945.2701999980491,post_ready,163373056,155.8046875
967.9902999996557,post_ready,163373056,155.8046875
990.7493999999133,post_ready,163373056,155.8046875
1010.9389999997802,post_ready,163373056,155.8046875
1033.9999999996508,post_ready,163373056,155.8046875
1057.3922000039602,post_ready,163348480,155.78125
1078.635799996846,post_ready,163348480,155.78125
1099.8084000020754,post_ready,163348480,155.78125
1123.396800001501,post_ready,163348480,155.78125
1147.9449999969802,post_ready,163348480,155.78125
1175.5982000031509,post_ready,163352576,155.78515625
1212.1965999976965,post_ready,163352576,155.78515625
1245.7464999970398,post_ready,163352576,155.78515625
1272.5426000033622,post_ready,163352576,155.78515625
1296.6091999987839,post_ready,163336192,155.76953125
1323.1904999993276,post_ready,163336192,155.76953125
1353.5143999979482,post_ready,163336192,155.76953125
1396.3317000016104,post_ready,163336192,155.76953125
1432.6954999996815,post_ready,163336192,155.76953125
1458.4534000023268,post_ready,163336192,155.76953125
1488.6805999994976,post_ready,163336192,155.76953125
1512.5398000018322,post_ready,163336192,155.76953125
1546.3234999988344,post_ready,163336192,155.76953125
1574.9347000019043,post_ready,163336192,155.76953125
1603.0638000011095,post_ready,163336192,155.76953125
1626.4863000033074,post_ready,163336192,155.76953125
1651.4921999987564,post_ready,163336192,155.76953125
1671.5031999992789,post_ready,163336192,155.76953125
1694.514299997536,post_ready,163336192,155.76953125
1714.882000000216,post_ready,163336192,155.76953125
1735.6079000019236,post_ready,163336192,155.76953125
1760.6139999988955,post_ready,163336192,155.76953125
1785.5111000026227,post_ready,163336192,155.76953125
1810.6576999998651,post_ready,163336192,155.76953125
1834.6162000016193,post_ready,163336192,155.76953125
1856.1791000029189,post_ready,163336192,155.76953125
1878.9898000031826,post_ready,163336192,155.76953125
1901.1363000026904,post_ready,163336192,155.76953125
1923.9947000023676,post_ready,163336192,155.76953125
1946.9613000037498,post_ready,163336192,155.76953125
1970.0107000026037,post_ready,163336192,155.76953125
1994.1652999987127,post_ready,163336192,155.76953125
2019.0833000015118,post_ready,163336192,155.76953125
2041.5357000019867,post_ready,163336192,155.76953125
2062.982399998873,post_ready,163336192,155.76953125
2083.5473999977694,post_ready,163336192,155.76953125
2109.2508000001544,post_ready,163336192,155.76953125
2130.527900000743,post_ready,163336192,155.76953125
2151.288300003216,post_ready,163336192,155.76953125
2172.9189999969094,post_ready,163336192,155.76953125
2195.6065999984276,post_ready,163336192,155.76953125
2217.575000002398,post_ready,163336192,155.76953125
2240.5781999987084,post_ready,163336192,155.76953125
2264.9642000033055,post_ready,163336192,155.76953125
2286.586800000805,post_ready,163336192,155.76953125
2309.221299998171,post_ready,163336192,155.76953125
2329.992699997092,post_ready,163336192,155.76953125
2350.274000003992,post_ready,163336192,155.76953125
2372.0653999989736,post_ready,163336192,155.76953125
2396.9536000004155,post_ready,163336192,155.76953125
2421.8411999972886,post_ready,163336192,155.76953125
2446.8983999977354,post_ready,163336192,155.76953125
2472.5293000010424,post_ready,163336192,155.76953125
2497.426900001301,post_ready,163336192,155.76953125
2522.650799997791,post_ready,163336192,155.76953125
2547.3762000037823,post_ready,163336192,155.76953125
2572.257500003616,post_ready,163336192,155.76953125
2597.6539999974193,post_ready,163336192,155.76953125
2617.743700000574,post_ready,163336192,155.76953125
2637.7770000035525,post_ready,163336192,155.76953125
2658.937899999728,post_ready,163336192,155.76953125
2683.7583000015,post_ready,163336192,155.76953125
2708.8396000035573,post_ready,163336192,155.76953125
2729.1276000032667,post_ready,163336192,155.76953125
2753.9821000027587,post_ready,163336192,155.76953125
2779.396899997664,post_ready,163336192,155.76953125
