run_id,session_id,sequence,repetition,runtime,connections,pipelining,warmup_seconds,measurement_seconds,timeout_seconds,shuffle_seed,started_at,finished_at,status,requests_per_second,mean_latency_ms,median_latency_ms,p99_latency_ms,total_requests,errors,timeouts,mismatches,non_2xx,result_file,server_output_log,server_error_log,autocannon_error_log,error_message
http_s01_r02_bun_c100,1,15,2,bun,100,1,10,30,10,20260805,2026-08-03T14:35:18.987493+00:00,2026-08-03T14:36:00.733432+00:00,success,17058.94,5.38,5,12,511790,0,0,0,0,data/raw/http/session_01/http_s01_r02_bun_c100.json,results/logs/http_final/session_01/http_s01_r02_bun_c100-server-output.log,results/logs/http_final/session_01/http_s01_r02_bun_c100-server-error.log,results/logs/http_final/session_01/http_s01_r02_bun_c100-autocannon-error.log,
http_s01_r02_deno_c010,1,16,2,deno,10,1,10,30,10,20260805,2026-08-03T14:36:10.746211+00:00,2026-08-03T14:36:52.323783+00:00,success,18576.94,0.04,0,1,557283,0,0,0,0,data/raw/http/session_01/http_s01_r02_deno_c010.json,results/logs/http_final/session_01/http_s01_r02_deno_c010-server-output.log,results/logs/http_final/session_01/http_s01_r02_deno_c010-server-error.log,results/logs/http_final/session_01/http_s01_r02_deno_c010-autocannon-error.log,
http_s01_r02_node_c100,1,17,2,node,100,1,10,30,10,20260805,2026-08-03T14:37:02.333452+00:00,2026-08-03T14:37:44.232344+00:00,success,15165.6,6.02,5,13,454948,0,0,0,0,data/raw/http/session_01/http_s01_r02_node_c100.json,results/logs/http_final/session_01/http_s01_r02_node_c100-server-output.log,results/logs/http_final/session_01/http_s01_r02_node_c100-server-error.log,results/logs/http_final/session_01/http_s01_r02_node_c100-autocannon-error.log,
http_s01_r02_deno_c100,1,18,2,deno,100,1,10,30,10,20260805,2026-08-03T14:37:54.246222+00:00,2026-08-03T14:38:35.932517+00:00,success,20878.54,4.37,4,9,626381,0,0,0,0,data/raw/http/session_01/http_s01_r02_deno_c100.json,results/logs/http_final/session_01/http_s01_r02_deno_c100-server-output.log,results/logs/http_final/session_01/http_s01_r02_deno_c100-server-error.log,results/logs/http_final/session_01/http_s01_r02_deno_c100-autocannon-error.log,
http_s01_r03_deno_c010,1,19,3,deno,10,1,10,30,10,20260806,2026-08-03T14:38:45.945404+00:00,2026-08-03T14:39:27.509490+00:00,success,19204.94,0.04,0,1,576115,0,0,0,0,data/raw/http/session_01/http_s01_r03_deno_c010.json,results/logs/http_final/session_01/http_s01_r03_deno_c010-server-output.log,results/logs/http_final/session_01/http_s01_r03_deno_c010-server-error.log,results/logs/http_final/session_01/http_s01_r03_deno_c010-autocannon-error.log,
http_s01_r03_node_c050,1,20,3,node,50,1,10,30,10,20260806,2026-08-03T14:39:37.519970+00:00,2026-08-03T14:40:19.147231+00:00,success,15746.94,2.77,2,7,472412,0,0,0,0,data/raw/http/session_01/http_s01_r03_node_c050.json,results/logs/http_final/session_01/http_s01_r03_node_c050-server-output.log,results/logs/http_final/session_01/http_s01_r03_node_c050-server-error.log,results/logs/http_final/session_01/http_s01_r03_node_c050-autocannon-error.log,
http_s01_r03_deno_c100,1,21,3,deno,100,1,10,30,10,20260806,2026-08-03T14:40:29.161091+00:00,2026-08-03T14:41:10.983533+00:00,success,18117.2,5.08,4,10,543540,0,0,0,0,data/raw/http/session_01/http_s01_r03_deno_c100.json,results/logs/http_final/session_01/http_s01_r03_deno_c100-server-output.log,results/logs/http_final/session_01/http_s01_r03_deno_c100-server-error.log,results/logs/http_final/session_01/http_s01_r03_deno_c100-autocannon-error.log,
http_s01_r03_deno_c050,1,22,3,deno,50,1,10,30,10,20260806,2026-08-03T14:41:21.063702+00:00,2026-08-03T14:42:02.718256+00:00,success,18703.07,2.13,2,5,561095,0,0,0,0,data/raw/http/session_01/http_s01_r03_deno_c050.json,results/logs/http_final/session_01/http_s01_r03_deno_c050-server-output.log,results/logs/http_final/session_01/http_s01_r03_deno_c050-server-error.log,results/logs/http_final/session_01/http_s01_r03_deno_c050-autocannon-error.log,
http_s01_r03_node_c010,1,23,3,node,10,1,10,30,10,20260806,2026-08-03T14:42:12.728170+00:00,2026-08-03T14:42:54.296899+00:00,success,16764,0.05,0,1,502909,0,0,0,0,data/raw/http/session_01/http_s01_r03_node_c010.json,results/logs/http_final/session_01/http_s01_r03_node_c010-server-output.log,results/logs/http_final/session_01/http_s01_r03_node_c010-server-error.log,results/logs/http_final/session_01/http_s01_r03_node_c010-autocannon-error.log,
http_s01_r03_node_c100,1,24,3,node,100,1,10,30,10,20260806,2026-08-03T14:43:04.513155+00:00,2026-08-03T14:43:47.961032+00:00,success,15156.14,6.04,5,15,454656,0,0,0,0,data/raw/http/session_01/http_s01_r03_node_c100.json,results/logs/http_final/session_01/http_s01_r03_node_c100-server-output.log,results/logs/http_final/session_01/http_s01_r03_node_c100-server-error.log,results/logs/http_final/session_01/http_s01_r03_node_c100-autocannon-error.log,
http_s01_r03_bun_c010,1,25,3,bun,10,1,10,30,10,20260806,2026-08-03T14:43:57.979827+00:00,2026-08-03T14:44:39.518827+00:00,success,17784.67,0.12,0,3,533521,0,0,0,0,data/raw/http/session_01/http_s01_r03_bun_c010.json,results/logs/http_final/session_01/http_s01_r03_bun_c010-server-output.log,results/logs/http_final/session_01/http_s01_r03_bun_c010-server-error.log,results/logs/http_final/session_01/http_s01_r03_bun_c010-autocannon-error.log,
http_s01_r03_bun_c050,1,26,3,bun,50,1,10,30,10,20260806,2026-08-03T14:44:49.533051+00:00,2026-08-03T14:45:31.412799+00:00,success,18675.41,2.18,2,6,560232,0,0,0,0,data/raw/http/session_01/http_s01_r03_bun_c050.json,results/logs/http_final/session_01/http_s01_r03_bun_c050-server-output.log,results/logs/http_final/session_01/http_s01_r03_bun_c050-server-error.log,results/logs/http_final/session_01/http_s01_r03_bun_c050-autocannon-error.log,
http_s01_r03_bun_c100,1,27,3,bun,100,1,10,30,10,20260806,2026-08-03T14:45:41.426230+00:00,2026-08-03T14:46:23.382739+00:00,success,15794.8,5.85,5,17,473851,0,0,0,0,data/raw/http/session_01/http_s01_r03_bun_c100.json,results/logs/http_final/session_01/http_s01_r03_bun_c100-server-output.log,results/logs/http_final/session_01/http_s01_r03_bun_c100-server-error.log,results/logs/http_final/session_01/http_s01_r03_bun_c100-autocannon-error.log,
http_s01_r04_bun_c050,1,28,4,bun,50,1,10,30,10,20260807,2026-08-03T14:46:33.398280+00:00,2026-08-03T14:47:15.045643+00:00,success,18818.27,2.14,2,6,564572,0,0,0,0,data/raw/http/session_01/http_s01_r04_bun_c050.json,results/logs/http_final/session_01/http_s01_r04_bun_c050-server-output.log,results/logs/http_final/session_01/http_s01_r04_bun_c050-server-error.log,results/logs/http_final/session_01/http_s01_r04_bun_c050-autocannon-error.log,
http_s01_r04_deno_c050,1,29,4,deno,50,1,10,30,10,20260807,2026-08-03T14:47:25.060058+00:00,2026-08-03T14:48:06.710804+00:00,success,18072,2.24,2,5,542132,0,0,0,0,data/raw/http/session_01/http_s01_r04_deno_c050.json,results/logs/http_final/session_01/http_s01_r04_deno_c050-server-output.log,results/logs/http_final/session_01/http_s01_r04_deno_c050-server-error.log,results/logs/http_final/session_01/http_s01_r04_deno_c050-autocannon-error.log,
http_s01_r04_node_c050,1,30,4,node,50,1,10,30,10,20260807,2026-08-03T14:48:16.721495+00:00,2026-08-03T14:48:58.354751+00:00,success,15065.34,2.95,3,6,451936,0,0,0,0,data/raw/http/session_01/http_s01_r04_node_c050.json,results/logs/http_final/session_01/http_s01_r04_node_c050-server-output.log,results/logs/http_final/session_01/http_s01_r04_node_c050-server-error.log,results/logs/http_final/session_01/http_s01_r04_node_c050-autocannon-error.log,
http_s01_r04_deno_c100,1,31,4,deno,100,1,10,30,10,20260807,2026-08-03T14:49:08.373319+00:00,2026-08-03T14:49:50.169077+00:00,success,17878.8,5.14,5,11,536329,0,0,0,0,data/raw/http/session_01/http_s01_r04_deno_c100.json,results/logs/http_final/session_01/http_s01_r04_deno_c100-server-output.log,results/logs/http_final/session_01/http_s01_r04_deno_c100-server-error.log,results/logs/http_final/session_01/http_s01_r04_deno_c100-autocannon-error.log,
http_s01_r04_bun_c010,1,32,4,bun,10,1,10,30,10,20260807,2026-08-03T14:50:00.182264+00:00,2026-08-03T14:50:41.739902+00:00,success,17901.47,0.12,0,3,537043,0,0,0,0,data/raw/http/session_01/http_s01_r04_bun_c010.json,results/logs/http_final/session_01/http_s01_r04_bun_c010-server-output.log,results/logs/http_final/session_01/http_s01_r04_bun_c010-server-error.log,results/logs/http_final/session_01/http_s01_r04_bun_c010-autocannon-error.log,
http_s01_r04_node_c100,1,33,4,node,100,1,10,30,10,20260807,2026-08-03T14:50:51.751748+00:00,2026-08-03T14:51:33.428873+00:00,success,15336.27,5.95,5,12,460056,0,0,0,0,data/raw/http/session_01/http_s01_r04_node_c100.json,results/logs/http_final/session_01/http_s01_r04_node_c100-server-output.log,results/logs/http_final/session_01/http_s01_r04_node_c100-server-error.log,results/logs/http_final/session_01/http_s01_r04_node_c100-autocannon-error.log,
http_s01_r04_deno_c010,1,34,4,deno,10,1,10,30,10,20260807,2026-08-03T14:51:43.444607+00:00,2026-08-03T14:52:25.026176+00:00,success,21804.67,0.03,0,1,654096,0,0,0,0,data/raw/http/session_01/http_s01_r04_deno_c010.json,results/logs/http_final/session_01/http_s01_r04_deno_c010-server-output.log,results/logs/http_final/session_01/http_s01_r04_deno_c010-server-error.log,results/logs/http_final/session_01/http_s01_r04_deno_c010-autocannon-error.log,
http_s01_r04_bun_c100,1,35,4,bun,100,1,10,30,10,20260807,2026-08-03T14:52:35.039736+00:00,2026-08-03T14:53:16.789465+00:00,success,17622.27,5.18,5,10,528671,0,0,0,0,data/raw/http/session_01/http_s01_r04_bun_c100.json,results/logs/http_final/session_01/http_s01_r04_bun_c100-server-output.log,results/logs/http_final/session_01/http_s01_r04_bun_c100-server-error.log,results/logs/http_final/session_01/http_s01_r04_bun_c100-autocannon-error.log,
http_s01_r04_node_c010,1,36,4,node,10,1,10,30,10,20260807,2026-08-03T14:53:26.801912+00:00,2026-08-03T14:54:08.356298+00:00,success,16743.6,0.05,0,1,502267,0,0,0,0,data/raw/http/session_01/http_s01_r04_node_c010.json,results/logs/http_final/session_01/http_s01_r04_node_c010-server-output.log,results/logs/http_final/session_01/http_s01_r04_node_c010-server-error.log,results/logs/http_final/session_01/http_s01_r04_node_c010-autocannon-error.log,
http_s01_r05_bun_c010,1,37,5,bun,10,1,10,30,10,20260808,2026-08-03T14:54:18.372313+00:00,2026-08-03T14:54:59.945821+00:00,success,18265.2,0.12,0,3,547955,0,0,0,0,data/raw/http/session_01/http_s01_r05_bun_c010.json,results/logs/http_final/session_01/http_s01_r05_bun_c010-server-output.log,results/logs/http_final/session_01/http_s01_r05_bun_c010-server-error.log,results/logs/http_final/session_01/http_s01_r05_bun_c010-autocannon-error.log,
http_s01_r05_bun_c100,1,38,5,bun,100,1,10,30,10,20260808,2026-08-03T14:55:09.968128+00:00,2026-08-03T14:55:51.706655+00:00,success,17689.74,5.16,5,10,530695,0,0,0,0,data/raw/http/session_01/http_s01_r05_bun_c100.json,results/logs/http_final/session_01/http_s01_r05_bun_c100-server-output.log,results/logs/http_final/session_01/http_s01_r05_bun_c100-server-error.log,results/logs/http_final/session_01/http_s01_r05_bun_c100-autocannon-error.log,
http_s01_r05_deno_c050,1,39,5,deno,50,1,10,30,10,20260808,2026-08-03T14:56:01.719453+00:00,2026-08-03T14:56:43.374354+00:00,success,18381.47,2.17,2,5,551433,0,0,0,0,data/raw/http/session_01/http_s01_r05_deno_c050.json,results/logs/http_final/session_01/http_s01_r05_deno_c050-server-output.log,results/logs/http_final/session_01/http_s01_r05_deno_c050-server-error.log,results/logs/http_final/session_01/http_s01_r05_deno_c050-autocannon-error.log,
