run_id,workload,session_id,sequence,repetition,runtime,connections,pipelining,warmup_seconds,measurement_seconds,timeout_seconds,cooldown_seconds,shuffle_seed,started_at,finished_at,status,requests_per_second,mean_latency_ms,median_latency_ms,p90_latency_ms,p97_5_latency_ms,p99_latency_ms,maximum_latency_ms,total_requests,bytes_per_second,errors,timeouts,mismatches,non_2xx,result_file,server_output_log,server_error_log,warmup_error_log,autocannon_error_log,error_message
http_complex_s01_r02_node_c010,complex,1,11,2,node,10,1,10,30,10,10,20260805,2026-08-03T17:08:46.173264+00:00,2026-08-03T17:09:28.771347+00:00,success,12227.14,0.2,0,1,1,2,27,366786,3203191.47,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r02_node_c010.json,results/logs/http_complex_final/session_01/http_complex_s01_r02_node_c010-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r02_node_c010-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r02_node_c010-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r02_node_c010-autocannon-error.log,
http_complex_s01_r02_bun_c050,complex,1,12,2,bun,50,1,10,30,10,10,20260805,2026-08-03T17:09:38.776695+00:00,2026-08-03T17:10:20.436056+00:00,success,14912,2.97,2,5,7,8,50,447357,3205956.27,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r02_bun_c050.json,results/logs/http_complex_final/session_01/http_complex_s01_r02_bun_c050-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r02_bun_c050-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r02_bun_c050-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r02_bun_c050-autocannon-error.log,
http_complex_s01_r02_bun_c010,complex,1,13,2,bun,10,1,10,30,10,10,20260805,2026-08-03T17:10:30.440605+00:00,2026-08-03T17:11:12.248930+00:00,success,14749.87,0.17,0,0,3,4,28,442469,3171072,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r02_bun_c010.json,results/logs/http_complex_final/session_01/http_complex_s01_r02_bun_c010-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r02_bun_c010-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r02_bun_c010-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r02_bun_c010-autocannon-error.log,
http_complex_s01_r02_node_c050,complex,1,14,2,node,50,1,10,30,10,10,20260805,2026-08-03T17:11:22.252836+00:00,2026-08-03T17:12:03.882139+00:00,success,12008.07,3.65,3,5,7,8,53,360231,3146086.4,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r02_node_c050.json,results/logs/http_complex_final/session_01/http_complex_s01_r02_node_c050-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r02_node_c050-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r02_node_c050-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r02_node_c050-autocannon-error.log,
http_complex_s01_r02_bun_c100,complex,1,15,2,bun,100,1,10,30,10,10,20260805,2026-08-03T17:12:13.886730+00:00,2026-08-03T17:12:55.592168+00:00,success,14751.74,6.28,6,9,12,15,72,442525,3171259.74,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r02_bun_c100.json,results/logs/http_complex_final/session_01/http_complex_s01_r02_bun_c100-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r02_bun_c100-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r02_bun_c100-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r02_bun_c100-autocannon-error.log,
http_complex_s01_r02_deno_c010,complex,1,16,2,deno,10,1,10,30,10,10,20260805,2026-08-03T17:13:05.597892+00:00,2026-08-03T17:13:47.442688+00:00,success,18280.94,0.07,0,0,1,1,27,548411,3930385.07,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r02_deno_c010.json,results/logs/http_complex_final/session_01/http_complex_s01_r02_deno_c010-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r02_deno_c010-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r02_deno_c010-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r02_deno_c010-autocannon-error.log,
http_complex_s01_r02_node_c100,complex,1,17,2,node,100,1,10,30,10,10,20260805,2026-08-03T17:13:57.447660+00:00,2026-08-03T17:14:39.103981+00:00,success,11362.6,8.34,8,12,14,16,80,340855,2976819.2,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r02_node_c100.json,results/logs/http_complex_final/session_01/http_complex_s01_r02_node_c100-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r02_node_c100-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r02_node_c100-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r02_node_c100-autocannon-error.log,
http_complex_s01_r02_deno_c100,complex,1,18,2,deno,100,1,10,30,10,10,20260805,2026-08-03T17:14:49.110647+00:00,2026-08-03T17:15:30.774276+00:00,success,16732.27,5.48,5,10,13,15,69,501984,3597585.07,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r02_deno_c100.json,results/logs/http_complex_final/session_01/http_complex_s01_r02_deno_c100-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r02_deno_c100-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r02_deno_c100-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r02_deno_c100-autocannon-error.log,
http_complex_s01_r03_deno_c010,complex,1,19,3,deno,10,1,10,30,10,10,20260806,2026-08-03T17:15:40.781731+00:00,2026-08-03T17:16:22.422037+00:00,success,17863.6,0.07,0,0,1,1,65,535890,3840614.4,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r03_deno_c010.json,results/logs/http_complex_final/session_01/http_complex_s01_r03_deno_c010-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r03_deno_c010-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r03_deno_c010-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r03_deno_c010-autocannon-error.log,
http_complex_s01_r03_node_c050,complex,1,20,3,node,50,1,10,30,10,10,20260806,2026-08-03T17:16:32.429433+00:00,2026-08-03T17:17:15.054178+00:00,success,11692.87,3.77,3,6,7,9,59,350788,3063449.6,0,0,0,0,data/raw/http/complex/session_01/http_complex_s01_r03_node_c050.json,results/logs/http_complex_final/session_01/http_complex_s01_r03_node_c050-server-output.log,results/logs/http_complex_final/session_01/http_complex_s01_r03_node_c050-server-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r03_node_c050-warmup-error.log,results/logs/http_complex_final/session_01/http_complex_s01_r03_node_c050-autocannon-error.log,
