operation,runtime,mean_mib_s,median_mib_s,sd_mib_s,min_mib_s,max_mib_s
Read,Node.js,1094.462835403637,1061.415443345265,57.123013581604376,1043.97101518873,1217.77463862538
Read,Bun,951.6287739163425,956.7243338794301,31.826419490544136,894.398382927724,991.034114367319
Read,Deno,727.8770091674712,731.257454825568,15.791916386398016,692.213498024769,748.161953121668
Write,Node.js,1590.522578358588,1632.778381240605,111.7410798195693,1344.15106107285,1718.99576267544
Write,Bun,93.52108762402078,93.9352004691547,1.2600084689323559,90.8167385420608,94.6566330635619
Write,Deno,93.66702900705648,94.48683325810569,2.954476417621653,85.9152217802648,96.106439804212
