run_id,session_id,sequence,repetition,runtime,operation,shuffle_seed,started_at,finished_at,status,bytes,duration_ms,mib_per_second,command_wall_time_ms,exit_code,output_file_validated,output_file_removed,result_file,benchmark_program,temporary_output_file,stdout_log,stderr_log,error_message
file_io_s02_r07_bun_read,2,11,7,bun,read,20260813,2026-08-06T16:08:24.535623+00:00,2026-08-06T16:08:24.932663+00:00,success,104857600,111.80700000000002,894.3983829277236,396.6176,0,True,True,data/raw/file_io/session_02/file_io_s02_r07_bun_read.json,benchmarks/file_io/bun/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s02_r07_bun_read.bin,results/logs/file_io_final/session_02/file_io_s02_r07_bun_read-stdout.log,results/logs/file_io_final/session_02/file_io_s02_r07_bun_read-stderr.log,
file_io_s02_r07_node_write,2,12,7,node,write,20260813,2026-08-06T16:08:29.947595+00:00,2026-08-06T16:08:30.268810+00:00,success,104857600,74.3964,1344.1510610728476,308.2539,0,True,True,data/raw/file_io/session_02/file_io_s02_r07_node_write.json,benchmarks/file_io/node/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s02_r07_node_write.bin,results/logs/file_io_final/session_02/file_io_s02_r07_node_write-stdout.log,results/logs/file_io_final/session_02/file_io_s02_r07_node_write-stderr.log,
file_io_s02_r08_deno_read,2,13,8,deno,read,20260814,2026-08-06T16:08:35.285760+00:00,2026-08-06T16:08:35.673958+00:00,success,104857600,134.3106,744.5428730122567,387.7525,0,True,True,data/raw/file_io/session_02/file_io_s02_r08_deno_read.json,benchmarks/file_io/deno/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s02_r08_deno_read.bin,results/logs/file_io_final/session_02/file_io_s02_r08_deno_read-stdout.log,results/logs/file_io_final/session_02/file_io_s02_r08_deno_read-stderr.log,
file_io_s02_r08_bun_write,2,14,8,bun,write,20260814,2026-08-06T16:08:40.690083+00:00,2026-08-06T16:08:42.141646+00:00,success,104857600,1058.6107000000002,94.4634321190972,1439.6025,0,True,True,data/raw/file_io/session_02/file_io_s02_r08_bun_write.json,benchmarks/file_io/bun/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s02_r08_bun_write.bin,results/logs/file_io_final/session_02/file_io_s02_r08_bun_write-stdout.log,results/logs/file_io_final/session_02/file_io_s02_r08_bun_write-stderr.log,
file_io_s02_r08_node_write,2,15,8,node,write,20260814,2026-08-06T16:08:47.156268+00:00,2026-08-06T16:08:47.451531+00:00,success,104857600,61.153999999999996,1635.21601203519,282.4839,0,True,True,data/raw/file_io/session_02/file_io_s02_r08_node_write.json,benchmarks/file_io/node/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s02_r08_node_write.bin,results/logs/file_io_final/session_02/file_io_s02_r08_node_write-stdout.log,results/logs/file_io_final/session_02/file_io_s02_r08_node_write-stderr.log,
file_io_s02_r08_node_read,2,16,8,node,read,20260814,2026-08-06T16:08:52.465874+00:00,2026-08-06T16:08:52.803635+00:00,success,104857600,94.77900000000002,1055.0860422667465,337.2616,0,True,True,data/raw/file_io/session_02/file_io_s02_r08_node_read.json,benchmarks/file_io/node/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s02_r08_node_read.bin,results/logs/file_io_final/session_02/file_io_s02_r08_node_read-stdout.log,results/logs/file_io_final/session_02/file_io_s02_r08_node_read-stderr.log,
file_io_s02_r08_bun_read,2,17,8,bun,read,20260814,2026-08-06T16:08:57.820355+00:00,2026-08-06T16:08:58.198410+00:00,success,104857600,101.6002,984.250031003876,377.6342,0,True,True,data/raw/file_io/session_02/file_io_s02_r08_bun_read.json,benchmarks/file_io/bun/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s02_r08_bun_read.bin,results/logs/file_io_final/session_02/file_io_s02_r08_bun_read-stdout.log,results/logs/file_io_final/session_02/file_io_s02_r08_bun_read-stderr.log,
file_io_s02_r08_deno_write,2,18,8,deno,write,20260814,2026-08-06T16:09:03.231833+00:00,2026-08-06T16:09:04.531635+00:00,success,104857600,1046.9467,95.51584622216204,1287.9873,0,True,True,data/raw/file_io/session_02/file_io_s02_r08_deno_write.json,benchmarks/file_io/deno/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s02_r08_deno_write.bin,results/logs/file_io_final/session_02/file_io_s02_r08_deno_write-stdout.log,results/logs/file_io_final/session_02/file_io_s02_r08_deno_write-stderr.log,
file_io_s02_r09_bun_read,2,19,9,bun,read,20260815,2026-08-06T16:09:09.548121+00:00,2026-08-06T16:09:09.943563+00:00,success,104857600,108.166,924.5049276112642,394.9752,0,True,True,data/raw/file_io/session_02/file_io_s02_r09_bun_read.json,benchmarks/file_io/bun/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s02_r09_bun_read.bin,results/logs/file_io_final/session_02/file_io_s02_r09_bun_read-stdout.log,results/logs/file_io_final/session_02/file_io_s02_r09_bun_read-stderr.log,
file_io_s02_r09_deno_read,2,20,9,deno,read,20260815,2026-08-06T16:09:14.962659+00:00,2026-08-06T16:09:15.362314+00:00,success,104857600,144.4641,692.2134980247687,399.2356,0,True,True,data/raw/file_io/session_02/file_io_s02_r09_deno_read.json,benchmarks/file_io/deno/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s02_r09_deno_read.bin,results/logs/file_io_final/session_02/file_io_s02_r09_deno_read-stdout.log,results/logs/file_io_final/session_02/file_io_s02_r09_deno_read-stderr.log,
file_io_s02_r09_node_write,2,21,9,node,write,20260815,2026-08-06T16:09:20.376617+00:00,2026-08-06T16:09:20.684698+00:00,success,104857600,64.22290000000001,1557.076992786062,296.3648,0,True,True,data/raw/file_io/session_02/file_io_s02_r09_node_write.json,benchmarks/file_io/node/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s02_r09_node_write.bin,results/logs/file_io_final/session_02/file_io_s02_r09_node_write-stdout.log,results/logs/file_io_final/session_02/file_io_s02_r09_node_write-stderr.log,
file_io_s02_r09_bun_write,2,22,9,bun,write,20260815,2026-08-06T16:09:25.701226+00:00,2026-08-06T16:09:27.054043+00:00,success,104857600,1062.9352000000001,94.0791122544441,1340.5933,0,True,True,data/raw/file_io/session_02/file_io_s02_r09_bun_write.json,benchmarks/file_io/bun/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s02_r09_bun_write.bin,results/logs/file_io_final/session_02/file_io_s02_r09_bun_write-stdout.log,results/logs/file_io_final/session_02/file_io_s02_r09_bun_write-stderr.log,
file_io_s02_r09_deno_write,2,23,9,deno,write,20260815,2026-08-06T16:09:32.069512+00:00,2026-08-06T16:09:33.365504+00:00,success,104857600,1040.513,96.10643980421196,1283.7123,0,True,True,data/raw/file_io/session_02/file_io_s02_r09_deno_write.json,benchmarks/file_io/deno/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s02_r09_deno_write.bin,results/logs/file_io_final/session_02/file_io_s02_r09_deno_write-stdout.log,results/logs/file_io_final/session_02/file_io_s02_r09_deno_write-stderr.log,
file_io_s02_r09_node_read,2,24,9,node,read,20260815,2026-08-06T16:09:38.378295+00:00,2026-08-06T16:09:38.716934+00:00,success,104857600,95.399,1048.2290170756507,338.1902,0,True,True,data/raw/file_io/session_02/file_io_s02_r09_node_read.json,benchmarks/file_io/node/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s02_r09_node_read.bin,results/logs/file_io_final/session_02/file_io_s02_r09_node_read-stdout.log,results/logs/file_io_final/session_02/file_io_s02_r09_node_read-stderr.log,
file_io_s02_r10_node_read,2,25,10,node,read,20260816,2026-08-06T16:09:43.731449+00:00,2026-08-06T16:09:44.068114+00:00,success,104857600,95.78809999999999,1043.9710151887343,336.2139,0,True,True,data/raw/file_io/session_02/file_io_s02_r10_node_read.json,benchmarks/file_io/node/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s02_r10_node_read.bin,results/logs/file_io_final/session_02/file_io_s02_r10_node_read-stdout.log,results/logs/file_io_final/session_02/file_io_s02_r10_node_read-stderr.log,
file_io_s02_r10_deno_write,2,26,10,deno,write,20260816,2026-08-06T16:09:49.083653+00:00,2026-08-06T16:09:50.398880+00:00,success,104857600,1053.3934,94.93129537359926,1303.1842,0,True,True,data/raw/file_io/session_02/file_io_s02_r10_deno_write.json,benchmarks/file_io/deno/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s02_r10_deno_write.bin,results/logs/file_io_final/session_02/file_io_s02_r10_deno_write-stdout.log,results/logs/file_io_final/session_02/file_io_s02_r10_deno_write-stderr.log,
file_io_s02_r10_node_write,2,27,10,node,write,20260816,2026-08-06T16:09:55.414780+00:00,2026-08-06T16:09:55.819974+00:00,success,104857600,61.2251,1633.3170546066892,393.0589,0,True,True,data/raw/file_io/session_02/file_io_s02_r10_node_write.json,benchmarks/file_io/node/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s02_r10_node_write.bin,results/logs/file_io_final/session_02/file_io_s02_r10_node_write-stdout.log,results/logs/file_io_final/session_02/file_io_s02_r10_node_write-stderr.log,
file_io_s02_r10_bun_read,2,28,10,bun,read,20260816,2026-08-06T16:10:00.837001+00:00,2026-08-06T16:10:01.225424+00:00,success,104857600,102.5692,974.9515449082181,387.9061,0,True,True,data/raw/file_io/session_02/file_io_s02_r10_bun_read.json,benchmarks/file_io/bun/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s02_r10_bun_read.bin,results/logs/file_io_final/session_02/file_io_s02_r10_bun_read-stdout.log,results/logs/file_io_final/session_02/file_io_s02_r10_bun_read-stderr.log,
file_io_s02_r10_bun_write,2,29,10,bun,write,20260816,2026-08-06T16:10:06.242553+00:00,2026-08-06T16:10:07.595984+00:00,success,104857600,1069.815,93.47410533596931,1341.2468,0,True,True,data/raw/file_io/session_02/file_io_s02_r10_bun_write.json,benchmarks/file_io/bun/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s02_r10_bun_write.bin,results/logs/file_io_final/session_02/file_io_s02_r10_bun_write-stdout.log,results/logs/file_io_final/session_02/file_io_s02_r10_bun_write-stderr.log,
file_io_s02_r10_deno_read,2,30,10,deno,read,20260816,2026-08-06T16:10:12.614547+00:00,2026-08-06T16:10:13.030317+00:00,success,104857600,139.0412,719.2112841373636,415.3786,0,True,True,data/raw/file_io/session_02/file_io_s02_r10_deno_read.json,benchmarks/file_io/deno/benchmark.mjs,data/raw/file_io/temporary_outputs/file_io_s02_r10_deno_read.bin,results/logs/file_io_final/session_02/file_io_s02_r10_deno_read-stdout.log,results/logs/file_io_final/session_02/file_io_s02_r10_deno_read-stderr.log,
