"run_id","session_id","sequence","repetition","runtime","workload","shuffle_seed","started_at","ready_at","finished_at","status","allocation_bytes","sample_interval_ms","post_ready_window_ms","pre_ready_samples","post_ready_samples","rss_at_ready_bytes","rss_at_ready_mib","median_post_ready_rss_bytes","median_post_ready_rss_mib","mean_post_ready_rss_bytes","mean_post_ready_rss_mib","peak_post_ready_rss_bytes","peak_post_ready_rss_mib","peak_observed_rss_bytes","peak_observed_rss_mib","ready_payload","sample_file","stdout_log","stderr_log","error_message"
"memory_s01_r10_deno_allocated",1,56,10,"deno","allocated",20260820,"2026-08-10T19:29:37.225888+00:00","2026-08-10T19:29:37.441139+00:00","2026-08-10T19:29:39.468478+00:00","success",104857600,20,2000,9,87,149790720,142.8515625,149790720,142.8515625,149790720,142.8515625,149790720,142.8515625,149790720,142.8515625,"{""event"":""READY"",""mode"":""allocated"",""allocation_bytes"":104857600,""checksum"":2}","data/raw/memory/session_01/samples/memory_s01_r10_deno_allocated_samples.csv","results/logs/memory_final/session_01/memory_s01_r10_deno_allocated-stdout.log","results/logs/memory_final/session_01/memory_s01_r10_deno_allocated-stderr.log",NA
"memory_s01_r10_bun_idle",1,57,10,"bun","idle",20260820,"2026-08-10T19:29:41.486124+00:00","2026-08-10T19:29:41.622497+00:00","2026-08-10T19:29:43.654174+00:00","success",0,20,2000,6,87,58585088,55.87109375,58601472,55.88671875,58603355.2183908,55.8885147270115,58634240,55.91796875,58634240,55.91796875,"{""event"":""READY"",""mode"":""idle"",""allocation_bytes"":0,""checksum"":0}","data/raw/memory/session_01/samples/memory_s01_r10_bun_idle_samples.csv","results/logs/memory_final/session_01/memory_s01_r10_bun_idle-stdout.log","results/logs/memory_final/session_01/memory_s01_r10_bun_idle-stderr.log",NA
"memory_s01_r10_node_allocated",1,58,10,"node","allocated",20260820,"2026-08-10T19:29:45.678388+00:00","2026-08-10T19:29:45.917890+00:00","2026-08-10T19:29:47.942294+00:00","success",104857600,20,2000,10,86,143990784,137.3203125,143990784,137.3203125,143990784,137.3203125,143990784,137.3203125,143990784,137.3203125,"{""event"":""READY"",""mode"":""allocated"",""allocation_bytes"":104857600,""checksum"":2}","data/raw/memory/session_01/samples/memory_s01_r10_node_allocated_samples.csv","results/logs/memory_final/session_01/memory_s01_r10_node_allocated-stdout.log","results/logs/memory_final/session_01/memory_s01_r10_node_allocated-stderr.log",NA
"memory_s01_r10_deno_idle",1,59,10,"deno","idle",20260820,"2026-08-10T19:29:49.962586+00:00","2026-08-10T19:29:50.093648+00:00","2026-08-10T19:29:52.107323+00:00","success",0,20,2000,6,86,44429312,42.37109375,44429312,42.37109375,44429312,42.37109375,44429312,42.37109375,44429312,42.37109375,"{""event"":""READY"",""mode"":""idle"",""allocation_bytes"":0,""checksum"":0}","data/raw/memory/session_01/samples/memory_s01_r10_deno_idle_samples.csv","results/logs/memory_final/session_01/memory_s01_r10_deno_idle-stdout.log","results/logs/memory_final/session_01/memory_s01_r10_deno_idle-stderr.log",NA
"memory_s01_r10_bun_allocated",1,60,10,"bun","allocated",20260820,"2026-08-10T19:29:54.130659+00:00","2026-08-10T19:29:54.323150+00:00","2026-08-10T19:29:56.353842+00:00","success",104857600,20,2000,7,86,163500032,155.92578125,163586048,156.0078125,163586333.767442,156.00808502907,163618816,156.0390625,163618816,156.0390625,"{""event"":""READY"",""mode"":""allocated"",""allocation_bytes"":104857600,""checksum"":2}","data/raw/memory/session_01/samples/memory_s01_r10_bun_allocated_samples.csv","results/logs/memory_final/session_01/memory_s01_r10_bun_allocated-stdout.log","results/logs/memory_final/session_01/memory_s01_r10_bun_allocated-stderr.log",NA
"memory_s02_r11_deno_allocated",2,1,11,"deno","allocated",20260821,"2026-08-10T19:36:53.234465+00:00","2026-08-10T19:36:53.470699+00:00","2026-08-10T19:36:55.504284+00:00","success",104857600,20,2000,9,89,149561344,142.6328125,149561344,142.6328125,149561344,142.6328125,149561344,142.6328125,149561344,142.6328125,"{""event"":""READY"",""mode"":""allocated"",""allocation_bytes"":104857600,""checksum"":2}","data/raw/memory/session_02/samples/memory_s02_r11_deno_allocated_samples.csv","results/logs/memory_final/session_02/memory_s02_r11_deno_allocated-stdout.log","results/logs/memory_final/session_02/memory_s02_r11_deno_allocated-stderr.log",NA
"memory_s02_r11_deno_idle",2,2,11,"deno","idle",20260821,"2026-08-10T19:36:57.537142+00:00","2026-08-10T19:36:57.655660+00:00","2026-08-10T19:36:59.675493+00:00","success",0,20,2000,5,86,44179456,42.1328125,44179456,42.1328125,44179456,42.1328125,44179456,42.1328125,44179456,42.1328125,"{""event"":""READY"",""mode"":""idle"",""allocation_bytes"":0,""checksum"":0}","data/raw/memory/session_02/samples/memory_s02_r11_deno_idle_samples.csv","results/logs/memory_final/session_02/memory_s02_r11_deno_idle-stdout.log","results/logs/memory_final/session_02/memory_s02_r11_deno_idle-stderr.log",NA
"memory_s02_r11_node_allocated",2,3,11,"node","allocated",20260821,"2026-08-10T19:37:01.704212+00:00","2026-08-10T19:37:01.982440+00:00","2026-08-10T19:37:04.007495+00:00","success",104857600,20,2000,11,87,143937536,137.26953125,143937536,137.26953125,143937536,137.26953125,143937536,137.26953125,143937536,137.26953125,"{""event"":""READY"",""mode"":""allocated"",""allocation_bytes"":104857600,""checksum"":2}","data/raw/memory/session_02/samples/memory_s02_r11_node_allocated_samples.csv","results/logs/memory_final/session_02/memory_s02_r11_node_allocated-stdout.log","results/logs/memory_final/session_02/memory_s02_r11_node_allocated-stderr.log",NA
"memory_s02_r11_bun_idle",2,4,11,"bun","idle",20260821,"2026-08-10T19:37:06.027047+00:00","2026-08-10T19:37:06.169968+00:00","2026-08-10T19:37:08.186691+00:00","success",0,20,2000,6,86,58626048,55.91015625,58646528,55.9296875,58647909.2093023,55.9310047238372,58679296,55.9609375,58679296,55.9609375,"{""event"":""READY"",""mode"":""idle"",""allocation_bytes"":0,""checksum"":0}","data/raw/memory/session_02/samples/memory_s02_r11_bun_idle_samples.csv","results/logs/memory_final/session_02/memory_s02_r11_bun_idle-stdout.log","results/logs/memory_final/session_02/memory_s02_r11_bun_idle-stderr.log",NA
"memory_s02_r11_bun_allocated",2,5,11,"bun","allocated",20260821,"2026-08-10T19:37:10.205719+00:00","2026-08-10T19:37:10.375722+00:00","2026-08-10T19:37:12.400520+00:00","success",104857600,20,2000,7,82,163467264,155.89453125,163569664,155.9921875,163568964.682927,155.991520579268,163581952,156.00390625,163581952,156.00390625,"{""event"":""READY"",""mode"":""allocated"",""allocation_bytes"":104857600,""checksum"":2}","data/raw/memory/session_02/samples/memory_s02_r11_bun_allocated_samples.csv","results/logs/memory_final/session_02/memory_s02_r11_bun_allocated-stdout.log","results/logs/memory_final/session_02/memory_s02_r11_bun_allocated-stderr.log",NA
"memory_s02_r11_node_idle",2,6,11,"node","idle",20260821,"2026-08-10T19:37:14.416300+00:00","2026-08-10T19:37:14.556278+00:00","2026-08-10T19:37:16.574814+00:00","success",0,20,2000,6,88,38481920,36.69921875,38481920,36.69921875,38481920,36.69921875,38481920,36.69921875,38481920,36.69921875,"{""event"":""READY"",""mode"":""idle"",""allocation_bytes"":0,""checksum"":0}","data/raw/memory/session_02/samples/memory_s02_r11_node_idle_samples.csv","results/logs/memory_final/session_02/memory_s02_r11_node_idle-stdout.log","results/logs/memory_final/session_02/memory_s02_r11_node_idle-stderr.log",NA
