elapsed_ms,phase,rss_bytes,rss_mib
4.114300005312543,pre_ready,5443584,5.19140625
28.833100004703738,pre_ready,13361152,12.7421875
50.52000000432599,pre_ready,20844544,19.87890625
77.81960000284016,pre_ready,29888512,28.50390625
97.99430000566645,pre_ready,35057664,33.43359375
120.29270000493852,pre_ready,37339136,35.609375
143.42900000337977,pre_ready,64200704,61.2265625
164.64300000370713,pre_ready,99393536,94.7890625
193.94470000406727,pre_ready,125251584,119.44921875
217.83330000471324,pre_ready,143962112,137.29296875
237.54120000376133,post_ready,143982592,137.3125
260.8131000015419,post_ready,143982592,137.3125
283.90760000183946,post_ready,143982592,137.3125
306.8700000003446,post_ready,143982592,137.3125
329.9604000058025,post_ready,143982592,137.3125
353.82899999967776,post_ready,143982592,137.3125
378.3869000035338,post_ready,143982592,137.3125
401.4065000010305,post_ready,143982592,137.3125
425.43680000380846,post_ready,143982592,137.3125
449.7747000059462,post_ready,143982592,137.3125
474.6808000054443,post_ready,143982592,137.3125
498.18770000274526,post_ready,143982592,137.3125
521.5513000002829,post_ready,143982592,137.3125
544.8895000008633,post_ready,143982592,137.3125
568.2503999996698,post_ready,143982592,137.3125
591.4975000050617,post_ready,143982592,137.3125
615.9381000034045,post_ready,143982592,137.3125
639.2498000059277,post_ready,143982592,137.3125
662.2762000042712,post_ready,143982592,137.3125
686.5327000050456,post_ready,143982592,137.3125
711.3708000033512,post_ready,143982592,137.3125
736.1415000050329,post_ready,143982592,137.3125
759.4123000017134,post_ready,143982592,137.3125
780.8593000008841,post_ready,143982592,137.3125
804.4421000013244,post_ready,143982592,137.3125
827.8871000002255,post_ready,143982592,137.3125
852.522900000622,post_ready,143982592,137.3125
875.3519000019878,post_ready,143982592,137.3125
898.2440000036149,post_ready,143982592,137.3125
921.2667000028887,post_ready,143982592,137.3125
945.3065999987302,post_ready,143982592,137.3125
969.206400004623,post_ready,143982592,137.3125
994.1018000026816,post_ready,143982592,137.3125
1018.3867000014288,post_ready,143982592,137.3125
1042.4184000003152,post_ready,143982592,137.3125
1065.8103000023402,post_ready,143982592,137.3125
1088.7629999997444,post_ready,143982592,137.3125
1112.6063000046997,post_ready,143982592,137.3125
1132.6731000008294,post_ready,143982592,137.3125
1156.1743000056595,post_ready,143982592,137.3125
1179.5271000009961,post_ready,143982592,137.3125
1202.8464000031818,post_ready,143982592,137.3125
1227.0128000018303,post_ready,143982592,137.3125
1251.499000005424,post_ready,143982592,137.3125
1274.6796999999788,post_ready,143982592,137.3125
1297.851499999524,post_ready,143982592,137.3125
1321.1695999998483,post_ready,143982592,137.3125
1345.012300000235,post_ready,143982592,137.3125
1369.0205000020796,post_ready,143982592,137.3125
1392.5941999987117,post_ready,143982592,137.3125
1415.8910000041942,post_ready,143982592,137.3125
1439.7991000005277,post_ready,143982592,137.3125
1460.0458999993862,post_ready,143982592,137.3125
1484.1452000036952,post_ready,143982592,137.3125
1509.2662000024575,post_ready,143982592,137.3125
1532.6175000009243,post_ready,143982592,137.3125
1555.9662000014214,post_ready,143982592,137.3125
1579.818600002909,post_ready,143982592,137.3125
1605.1863000029698,post_ready,143982592,137.3125
1625.513900005899,post_ready,143982592,137.3125
1648.8428000011481,post_ready,143982592,137.3125
1672.475300001679,post_ready,143982592,137.3125
1693.3280000012019,post_ready,143982592,137.3125
1717.3022999995737,post_ready,143982592,137.3125
1741.0941000052844,post_ready,143982592,137.3125
1763.9369000025908,post_ready,143982592,137.3125
1788.667600005283,post_ready,143982592,137.3125
1812.7959000048577,post_ready,143982592,137.3125
1835.5908000012278,post_ready,143982592,137.3125
1858.4636000014143,post_ready,143982592,137.3125
1882.2253000034834,post_ready,143982592,137.3125
1902.5492000000668,post_ready,143982592,137.3125
1926.0789000036311,post_ready,143982592,137.3125
1949.5562000010977,post_ready,143982592,137.3125
1972.496800000954,post_ready,143982592,137.3125
1996.2161000003107,post_ready,143982592,137.3125
2019.0435000040452,post_ready,143982592,137.3125
2039.2500000016298,post_ready,143982592,137.3125
2062.4259000032907,post_ready,143982592,137.3125
2085.503800000879,post_ready,143982592,137.3125
2108.916600001976,post_ready,143982592,137.3125
2132.049100000586,post_ready,143982592,137.3125
2155.1445000004605,post_ready,143982592,137.3125
2178.1852999993134,post_ready,143982592,137.3125
2201.1988000012934,post_ready,143982592,137.3125
2225.2177000045776,post_ready,143982592,137.3125
