connections,runtime,Simple,Complex,absolute_change_rps,percent_change
10,Bun,18049.564,15050.237,-2999.3269999999993,-16.61717147295081
10,Deno,20040.025,18172.071,-1867.9540000000015,-9.321116116372117
10,Node.js,16859.003,12471.476,-4387.527,-26.024830768462405
50,Bun,19256.599,14857.543,-4399.055999999999,-22.844407779379935
50,Deno,19018.884,17952.023,-1066.8609999999971,-5.609482659445198
50,Node.js,16025.443,11696.363,-4329.08,-27.013793004037396
100,Bun,17642.217,14989.417,-2652.800000000001,-15.036658941447104
100,Deno,19009.923,17070.438000000002,-1939.484999999997,-10.202487406182534
100,Node.js,15099.964,11546.536,-3553.428,-23.532691866020343
