connections,comparison,Simple,Complex,gap_change
10,bun_vs_node,1190.5609999999979,2578.7609999999986,1388.2000000000007
10,deno_vs_bun,1990.461000000003,3121.8340000000007,1131.3729999999978
10,deno_vs_node,3181.022000000001,5700.594999999999,2519.5729999999985
50,bun_vs_node,3231.155999999999,3161.1800000000003,-69.97599999999875
50,deno_vs_bun,-237.71500000000015,3094.4800000000014,3332.1950000000015
50,deno_vs_node,2993.440999999999,6255.660000000002,3262.219000000003
100,bun_vs_node,2542.2530000000006,3442.8809999999994,900.6279999999988
100,deno_vs_bun,1367.7059999999983,2081.0210000000025,713.3150000000041
100,deno_vs_node,3909.958999999999,5523.902000000002,1613.943000000003
